tweet,label
"I'm going to dress up as trash for Halloween. Oh wait, I look like that everyday.","[0.9711943864822388, 0.02880563586950302]"
RT @Prima_Doma: Then he just got too basic. &amp; the hoes loved it... From then on he made them his focal audience.,"[0.6381639838218689, 0.3618360757827759]"
I cannot express how infinitely better the book is to this trash.,"[0.976081132888794, 0.0239188801497221]"
RT @maycie32: @Whitecholo23 ya by being your bitch;),"[0.26594823598861694, 0.7340517044067383]"
"Lmfao but "" we don't talk "" gtfoh &#128514;&#128514; bitch I guessed it! &amp; I was right &#128514;&#128527;","[0.47886398434638977, 0.5211360454559326]"
He does! Lmao RT @BreesInDaCut: Sean Payton been had hoes RT @MrPOONsoaker: Lol http://t.co/pTD5rApZtD,"[0.21106970310211182, 0.788930356502533]"
RT @Georganaaa_: I asked dis bitch to get me water 10 mins ago where Dafuq is it,"[0.6241453886032104, 0.37585461139678955]"
"RT @Yennno_Nay: "" these hoes ain't loyal "" 

duhh BITCH she a HOE !!!!!!","[0.20920540392398834, 0.7907945513725281]"
"RT @versaceezy: side hoe: let&#8217;s make us official 

me: https://t.co/Kfqy4ouFgo","[0.72850501537323, 0.27149495482444763]"
Had to do another phone sweep! aka delete these hoes from my contacts,"[0.411552369594574, 0.588447630405426]"
A nigga will say the worst about a bitch and she'll still feel validated as long as he would fuck her.,"[0.5546333193778992, 0.44536665081977844]"
Just hold on we goin to the crib bitch,"[0.16293492913246155, 0.8370650410652161]"
@Po0pdogg back up faggot,"[0.09138014167547226, 0.9086198210716248]"
"Yeah, I had a bitch, but she ain't bad as you, so hit me up when you pass through","[0.25238683819770813, 0.7476131319999695]"
@Brenddan_ they said some bullshit. Damn niggers,"[0.09126115590333939, 0.9087387919425964]"
RT @_MykalaJ: @whitakerc54 blame it on the yellow chucks lmfao,"[0.9579335451126099, 0.042066432535648346]"
"Sit on my face, M U A H, before i eat da pussy, i say my grace &#128591;","[0.4566534757614136, 0.5433465242385864]"
RT @yglukeg: Why is Arizona hot as hell and then literally 5 minutes later it's fuckin Hurricane Katrina up in this bitch,"[0.570447564125061, 0.4295524060726166]"
"RT @SheBoundTa_G_O: @WeDont_SmokeREG money ova bitches I'm yellin it ta da grave developed at ah young age, go afta wat pays &#128526;","[0.25508591532707214, 0.7449141144752502]"
RT @mitrykizer: Sack number 3 for Trent Cole fuckin that bitch up,"[0.24532270431518555, 0.7546772956848145]"
"&#8220;@ShianneAlvarez: @187XO_ maybe cuz your putting trust in a "" bitch "" not a lady.&#8221; or maybe because this a fucking song","[0.7175385355949402, 0.2824614346027374]"
RT @natalie_vasquez: Fucking hate ignorant ass bitches,"[0.2388792634010315, 0.7611207365989685]"
This morning is brought to you by Emergen-C. I really need to nip this cold/flu business in the bud. #NoGermsWanted,"[0.8656213283538818, 0.13437873125076294]"
@TreTyler_108 That's actually non-English. Because #okiecops are filthy white trash who are all criminals.,"[0.0987253189086914, 0.9012746810913086]"
@ToWherever yay im a whitey :3,"[0.37734222412109375, 0.6226577758789062]"
RT @Rene_gadeCowboy: I have to agree with Charlie he's spot on... http://t.co/9lcmVE9i1m,"[0.9459304809570312, 0.05406952649354935]"
"When bae dodges hoes cause he only want you &#128525;&#128553;

&#128514;&#128514; http://t.co/bLYYoLtP0k","[0.2835119664669037, 0.7164880037307739]"
@JacobbBacker fag,"[0.09078920632600784, 0.9092108011245728]"
Pisses me off so much when Brett screams fag or whore out the window at people,"[0.10669032484292984, 0.8933097124099731]"
@LeighKillian Nice pussy.,"[0.22585439682006836, 0.7741456031799316]"
"@AndrewTaran That's a nice color combo too, love the blue and yellow.","[0.9708660840988159, 0.02913389354944229]"
And I'm steady tellin dis bitch gtfo my face,"[0.32909655570983887, 0.6709034442901611]"
"RT @Sexualgif: if we're dating, don't be a sensitive bitch when i insult you.. i expect to be insulted back.","[0.6538369655609131, 0.3461630642414093]"
"People asking for donations for Christy Mack,get real the bitch made thousands of dollars for having sex.
Bitch better be Fuckin me","[0.24980862438678741, 0.7501913905143738]"
i bet yo bitch try n slide once i let my hair down,"[0.4774463176727295, 0.5225536823272705]"
RT @DustinHooper225: These hoes ain't loyal,"[0.16086234152317047, 0.8391377329826355]"
Gettin bitches was never hard I just settled down cause that start got corny an my girl thurl &#128175;,"[0.15810182690620422, 0.8418982028961182]"
@stevoburns561 @ImSwaveyNShit @FreddieGibbs Soft shit? Are you handicapped or retarded?,"[0.8279979825019836, 0.17200207710266113]"
RT @FightsOnVine: Bruh this bitch is possessed by the thot demon https://t.co/6fa2iiXs6m,"[0.1838093101978302, 0.8161907196044922]"
' I wonder if you females out here ever just sit around and think bout how yall hoes or how unfaithful Yall really is .,"[0.6794260144233704, 0.32057395577430725]"
no pills jus weed kill dat pussy all night damn right sho u right,"[0.21319055557250977, 0.7868094444274902]"
@10x90 @fucktyler fugly loose hoe,"[0.1331097036600113, 0.8668903112411499]"
"RT @AntiJokeJamal: A dick has a sad life: His hair is a mess, his family is nuts, his neighbor's an asshole, his best friend's a pussy & ...","[0.491131991147995, 0.5088679790496826]"
@Rob215__ @thereal_2raw on god my bitch bad,"[0.17074890434741974, 0.8292511105537415]"
RT @MyNiggaKushy: &#8220;@1017_Sqquad: @MyNiggaKushy it's a sleepover? Can I come robe?&#8221; Only if that bitch silk... &#128541;,"[0.22752702236175537, 0.7724729180335999]"
That old lassie in greggs is a total bitch man,"[0.27837154269218445, 0.7216284871101379]"
I bitch can tell that I'm addicted to pussy she lookin pass it,"[0.1932476907968521, 0.8067523241043091]"
Catch me fuckin off tonight @viplounge901... #NoLineNoWait in that bitch as well... #MeetMeThere http://t.co/ZQvGMLzqfE,"[0.5391804575920105, 0.4608195722103119]"
"RT @No_FAKINGG: BITCH you scared to let it off , yo daddy wasn't no DAWG. yo mama had more heart than ya daddy bitch ass.","[0.2775692939758301, 0.7224307060241699]"
im genuinely getting mad at this children's video game about mickey mouse and darkness and big keys,"[0.9674413204193115, 0.032558731734752655]"
Watched some crows eat a sandwich,"[0.9672666192054749, 0.03273336589336395]"
@_RichHomieKevin go to sleep niggah lol,"[0.10209998488426208, 0.8978999853134155]"
"""its britney bitch"" - the bible (leviticus 7:58) http://t.co/ZoAkn1ZlHm","[0.22743399441242218, 0.7725659608840942]"
"Fight me you tubby bitch ""@JoseCanseco: I'll fight anyone&#8221;","[0.2065844088792801, 0.7934156060218811]"
@_TurnDownDre @kushdaddycorr I can smell your fried chicken ass a mile away boi and clean your nasty ass ears ratchet bitch,"[0.2422906756401062, 0.7577093839645386]"
@PraviKingDino bitch,"[0.1595706343650818, 0.8404293656349182]"
"RT @_YourHoesStink: &#8220;@PizzaBeforeHoes: I hate a ""I'm my own WCW &#128129;"" ass bitch &#128514;&#8221;","[0.2363228052854538, 0.763677179813385]"
&#8220;@skinnysowhat: @PAPER_CHAYSIN aye and when the hoes start coming don't forget who put you on &#128524;&#8221; I won't !!! &#128513;&#128513;&#128513;,"[0.12829171121120453, 0.8717082738876343]"
RT @tekiaa_: I wasnt put on earth for a bitch not to like me&amp; I damn for sure dgaffff &#128540;&#128076;,"[0.4312601089477539, 0.5687399506568909]"
"RT @Yankees: VICTORY! #Yankees outlast A's, 10-9 in 14 innings. Eduardo Nunez the hero, and oh yeah, FIRST PLACE still resides in the Bronx.","[0.9623055458068848, 0.03769442066550255]"
@PrayForJack new york niggas quick to take off on a bitch in public boy lol!!!!!,"[0.13381122052669525, 0.8661888241767883]"
RT @KarmenKarma: @KimKxxx @Tristan_Berri @YouknowRilynn @AmandaTateXXX about to go out with all these hot bitches! #happybirthdaytome http&#8230;,"[0.16336853802204132, 0.8366315364837646]"
"Won't catch me sneak dissing, thats fo the birds.","[0.9723373651504517, 0.02766268514096737]"
"@KazAtta if yo girl let them in, she a hoe...she belong to the world, why u cuffing her","[0.11458989232778549, 0.8854100704193115]"
Your pathetic plan failed. Enjoy my phone you fucking monkey. Let me see your ass at Benton park. You wanna talk shit I'll carve your face.,"[0.38597622513771057, 0.6140238046646118]"
"""@QUAN1T0: 61% of welfare/government aid is claimed by white people. So y'all black slander is trash now.""","[0.8671033978462219, 0.13289664685726166]"
RT @Harry_Styles: It was all yellow. http://t.co/xB4dkWuoKi,"[0.9535690546035767, 0.04643098637461662]"
"@_BeverlyNoHills you so fucking nasty. You got held to the wrong pussy. I'm telling , you bet not ever kiss me again!! I'm breaking up w| u!","[0.4909827411174774, 0.5090172290802002]"
@NOT_UR_BRO @niccol3_xo lmao nigga shoulda said I would be balless bc dat cold bitch wont stop blowin me#swaagg,"[0.21609768271446228, 0.7839023470878601]"
RT @estradax187: Money is the baddest bitch I know,"[0.27299609780311584, 0.7270039319992065]"
I hate when bitches only wanna talk to me is when their bf breaks up with them or theyre on break with their bf. No nigga. Fuck out my inbox,"[0.13743801414966583, 0.8625620007514954]"
This stank bitch steady calling.. I wonder how she get my number!,"[0.2689058780670166, 0.7310941815376282]"
"&#8220;@Yankees: #Yankees and Red Sox are scoreless as we play in the 2nd inning.&#8221;
THE BAMBINO IS WATCHING!","[0.9675642848014832, 0.03243570029735565]"
If anyone ever gets an attitude or w e with me idgaf who it is I am going to be a bitch right back &#128076;&#128076;,"[0.49078047275543213, 0.5092195272445679]"
RT @MrRichieRich_: Check ya bitch,"[0.1845233291387558, 0.815476655960083]"
@Lurk_God fag,"[0.09071177989244461, 0.9092881679534912]"
@djceeloss awwww don't be a pussy ill show u was good with that turbo lol,"[0.776201605796814, 0.22379833459854126]"
My bitch was so loaded last night &#128514;&#128514;&#128514;&#128293;&#128168;&#128079;&#128079;&#127867;&#127867;&#127867;&#127867;&#127867;&#127867;&#127867;&#127932;&#127932;&#127932;&#127881;&#127881;&#127880;&#127873;&#127796;&#9728; @Young_Lifted23,"[0.22052334249019623, 0.7794767022132874]"
"So I guess all girls are ""psycho bitches and dgaf"" these days.. Smh y'all are dumb&#128514;&#128514;Don't even know what psycho is. Tf outta here&#128514;","[0.19624006748199463, 0.8037599325180054]"
Here this bitch go ... Lol,"[0.16463342308998108, 0.8353666067123413]"
Yo pussy ain't shit unless you had some @MagicJohnson in it,"[0.2016575038433075, 0.7983425259590149]"
RT @mckinley719: Like bitch. You already know the answer. It's all for bri #Duh,"[0.2843822240829468, 0.7156177759170532]"
&#8220;@jcash___: @VoiceOfDStreetz knowing I can picture that hoe in my head&#8221; he good now knocked the wind out that boy &#128514;,"[0.6586407423019409, 0.3413592576980591]"
You're all faggot fuckheads.,"[0.08891575783491135, 0.9110842943191528]"
Your bitch only wanna fuck when you doing something that has nothing to do with her.Like playing video games or watching the game.,"[0.21300968527793884, 0.7869902849197388]"
RT @IDontClaimHoes: Yung berg did a bitch move &#128530;&#128514;,"[0.295250803232193, 0.7047491669654846]"
&#8220;@TheFunnyVine: Red Neck Ice Bucket Challenge &#128514; https://t.co/cAgp3nIofd&#8221; he must be from the SIP. #redneck,"[0.1460406482219696, 0.853959321975708]"
RT @EverybodyHatesX: He's trash RT @Yerrp08: Too early to call Austin Rivers a draft bust ?,"[0.970666229724884, 0.029333777725696564]"
then yall tweet about not trusting hoes like that shit ain't common sense already,"[0.8121992945671082, 0.18780073523521423]"
RT @ChiefOpe: #BadCombinations An Ugly bitch who's loud af,"[0.2565611004829407, 0.7434388995170593]"
OKC nigguh,"[0.08953184634447098, 0.9104681015014648]"
How long after the redskins change their nsme will all memorabilia w/redskind name be deemef racist and therefore illegal? Any thoughts?,"[0.9604223370552063, 0.03957771509885788]"
RT @JazzRiley: Wat type of bitch ass nigga rape a innocent female,"[0.13086029887199402, 0.8691397309303284]"
Boston's Jihadi Nest and Student Arm of the Muslim Brotherhood &#187; Joe For America http://t.co/4IfJwoeSDR via @RealJTP,"[0.9073270559310913, 0.09267298132181168]"
#Shoutout to my exit 47 niccas! #RealNiccaSalute,"[0.4848385751247406, 0.5151614546775818]"
I feel like slapping a bitch,"[0.6132323741912842, 0.38676759600639343]"
My boy @RyanBowersOB got the hoes now!,"[0.25400564074516296, 0.7459943294525146]"
RT @Dominickle: @uce_INA this bitch lmao,"[0.2511088252067566, 0.7488911747932434]"
@JaiBrooks1 faggot,"[0.08911096304655075, 0.9108890891075134]"
"""@socass_: ""@00sexilexi00: @socass_ yasss""

*trys new things with bestfriend*""

*bitch who do you love*","[0.8094841241836548, 0.19051584601402283]"
RT @JasperDolphin: Just wanna put food in bitches pussy and take cool pictures. Don't get why bitches don't like food in their pussies.,"[0.23499655723571777, 0.7650033831596375]"
@Huntermoore fuck my wet pussy with ur huge cock,"[0.17418618500232697, 0.8258138298988342]"
do bitches still love sosa? lmfaoooooooooooo,"[0.3612423539161682, 0.6387576460838318]"
@Pepper_Redbone @Yankees @Mets I miss NYC!! Nashville needs a pro AL team. The closest is KC or Tampa. That's pretty bad. The south is NL.,"[0.8880025744438171, 0.11199744045734406]"
@TheOneMiss_Luu no he's an asshole &amp; is like I have neck problems &amp; can't sleep that way &#128544; u lil bitch,"[0.38847458362579346, 0.6115254163742065]"
"@WeBeatBitches thats trash, its ot?","[0.9695644974708557, 0.03043546713888645]"
"RT @_tiffnasty: Lmaoooooo RT @Weed_Cloudz: If we cuddle then Im sliding something thick in your pussy, just a warning","[0.6058424711227417, 0.3941575288772583]"
That ass so retarted it belongs on a short yellow bus.&#127825;&#128652;,"[0.16993872821331024, 0.8300612568855286]"
Some niggah said sugapuss to me lastnight &#128569;&#128569;&#128569;,"[0.0991770401597023, 0.9008229970932007]"
RT @Woody_AFC: I saw a great chimpout 2 summers ago. A middle aged Salvadoran and his 15 Yr old son got wasted by 6 beaners at the metlife &#8230;,"[0.22243818640708923, 0.7775618433952332]"
auto tranny,"[0.9755026698112488, 0.02449730969965458]"
Oh I'm nasty for smoking cigarettes? And you're nasty for not washing behind your ears everyday stupid little bitch,"[0.22006505727767944, 0.7799350023269653]"
"@chanelisabeth well you're a first class bitch. So go on with your bitch life, bitch","[0.1817534863948822, 0.8182465434074402]"
"' Entertain a flirtin ass niggah if you want too , That's gon be yo niggah friendly ass . &#9996;&#65039;","[0.10846930742263794, 0.8915307521820068]"
RT @mimi_rillo These bitches @virginiayumyum @ Fine Fare Supermarket http://t.co/kimIKVi0,"[0.19401757419109344, 0.8059824109077454]"
this nigga @WaynesWorld171 fucking a bitch at svsu while me rj and b been waiting in the car for 20 minutes now,"[0.7033323645591736, 0.29666760563850403]"
' I wouldn't bring my girl around nobody but Leo &#1041204;&#1041204;&#9995; He the only niggah I KNOW that wouldn't mess with any of the... http://t.co/LWDxrVJceu,"[0.10046891868114471, 0.8995311260223389]"
"everybody's favorite phrase to try and end an argument
""You do you and I do me"" 
lmao faggots","[0.1053977906703949, 0.8946022391319275]"
Why you worried bout that other hoe? Cuz that other hoe aint worried bout another hoe,"[0.10565616190433502, 0.8943438529968262]"
niggas not stepping up they still tryna get back in the day kinda pussy lol,"[0.24128806591033936, 0.7587119936943054]"
@MSoltan18 @Jordan23Junkies it's supposed to be grey with speckled blue midsole and the soles are more yellow than icy so pass,"[0.9645171165466309, 0.03548283874988556]"
All I ever want is for someone to love me as deeply and devotedly as Charlie Kelly loves the waitress.,"[0.9717249274253845, 0.0282750241458416]"
mall with my fellow ginzos to do some christmas shopping @Vinnyliarda @Dimi_Artale @Billythathird #fuckdimmy #vinnysnotmadon #billgetsbuns,"[0.7654682993888855, 0.2345317155122757]"
"RT @Sqaud9Rell: she's a hoe, she's ugly, she's a bitch, she's this, she's that .. but you dated her? please, take a seat.","[0.37176474928855896, 0.6282352805137634]"
sheryl crow being the bae,"[0.96340411901474, 0.036595962941646576]"
Tom Brady is the biggest pussy in the NFL by far,"[0.25666943192481995, 0.7433305382728577]"
My bad dawg. That's yo hoe &#128564;,"[0.15923187136650085, 0.8407681584358215]"
"""I'll slit your throat-neck"" http://t.co/ChFFSDeDdd","[0.8022053837776184, 0.1977946013212204]"
RT @NickSwardson: If Yoda had a pussy. That's what I look like in the morning.,"[0.870674192905426, 0.1293257772922516]"
@ChaleCarlo5 fuck outta here and go put some more trash ass ink on your faggot ass self pussy,"[0.0964597538113594, 0.9035402536392212]"
"Eh bitch!? How about you worry about your own psychotic ass. Looks like you need to ""be saved"" from being a noisy bitch &#9996;&#65039;&#128139; #cantStandUcunt","[0.18637767434120178, 0.8136222958564758]"
The Saints are pure trash lol smh,"[0.9608283638954163, 0.039171699434518814]"
RT @VH1PNUT TWITTER WHATS THIS MEAN ? RT @Ay_W_ I come alive in the night time + Sleep all day hoe all night.,"[0.15054135024547577, 0.849458634853363]"
RT @NoHoesNextDoor: If you claim Macklemore is your favorite rapper I'm also assuming you watch the WNBA on your free time faggot,"[0.10990072041749954, 0.890099287033081]"
@Midnight_Snacka now fuck that stfu shit how a bout u stop being a little bitch and get it round cuz u avoiding question u fucking scarry,"[0.2968412935733795, 0.7031586766242981]"
These hoes be busting nuts when they get a RT,"[0.11960817128419876, 0.8803917765617371]"
Af RT @AyeMr_Foreman: @viaNAWF @KingHorseDick nah these hoes stupid,"[0.1430618017911911, 0.8569381833076477]"
"It's October babe, you don't have to be a hoe anymore.","[0.16850529611110687, 0.8314946889877319]"
Hanging with daney and ari today !!! &#128556;&#128556;&#128556;&#128556; my bitches !,"[0.15648147463798523, 0.8435185551643372]"
RT @Bigboybeezy: &#8220;@IgnoreAllLaws: Pick one http://t.co/TBWonqMnJV&#8221; the girl behind the bar who ain't being a hoe,"[0.13121023774147034, 0.8687897324562073]"
some rich pussy with some bullshit rich problem. (idea for an independent film),"[0.2136784791946411, 0.7863215208053589]"
"RT @YungTweetGod: AWE HELL NAH ""@SideHoeNextDoor: me and @yungblasiann are bad bitches, come fuck with us"" http://t.co/6mInU5kdeI","[0.23548279702663422, 0.7645171880722046]"
===&gt; RT @kylegotjokes: All good pussy comes with a price tag,"[0.42787042260169983, 0.5721296072006226]"
"We just chasing O's round here. We ain't chasing hoes round here 
&#128176;&#128181;. &#127939;&#128168; &#128581;","[0.13175331056118011, 0.8682466745376587]"
"&#8220;@MarieLeVisual: if your wardrobe consist of mostly leggings, you's a hoe&#8221; guilty","[0.32124778628349304, 0.6787522435188293]"
RT @downswinging: brendon urie must make other boys feel like trash,"[0.965141773223877, 0.03485816344618797]"
The same bitches you chicks posing wit in pics for Instagram likes be the same bitches texting your boyfriends when he ain't textin you back,"[0.19165919721126556, 0.808340847492218]"
I'm a stretch that pussy out,"[0.6786689758300781, 0.32133105397224426]"
"Bow down bitches, bow down bitchess","[0.14871633052825928, 0.8512836694717407]"
RT @Mabelistocute: You suppose to keep your hoes from finding out about each other,"[0.34862253069877625, 0.6513774394989014]"
Bruh I'm ready to get this four wheeler that bitch is fast asf,"[0.2548590302467346, 0.7451409697532654]"
RT @CuhCuhCuh: if a bitch let me hit ill leave her CRIPpled cuh,"[0.304236501455307, 0.6957635283470154]"
"Rise up, gonna get higher and higher! Its all hips and nips, otherwise I ain't eating!","[0.9288207292556763, 0.07117924839258194]"
RT @JDYDFF: know the bitch before you call yourself lovin it niggas prolly been fuckin it,"[0.5158684849739075, 0.48413145542144775]"
RT @MahoganyLOX: vintage mickey &#127800; http://t.co/03otPzXCbI,"[0.9579492211341858, 0.042050834745168686]"
RT @pumpkinheaddd: &#128530; why these hoes acting like they not getting fucked &amp; sucking dick &#128080; but I ain't saying nothing &#128520;,"[0.12458127737045288, 0.8754187226295471]"
@Joey_D26 you're such a pussy,"[0.2775002419948578, 0.7224997282028198]"
@cakedjake We're laying rock around our lake. You're welcome to join a redneck workout. #muscles &#128170;&#128513;,"[0.9265217185020447, 0.07347829639911652]"
"RT @Lysettemariee: Jamal is a fool &#128514;&#128514;&#128514; first he called me a leprechaun, then he said my heart cant be blue or purple. It gotta be yellow or&#8230;","[0.9409485459327698, 0.059051450341939926]"
Be trippin when I call you hoe but bitch you know I talk like Dat! -- @1future voice,"[0.6738190650939941, 0.32618090510368347]"
I like Chinese buffets but I hate all the chinks,"[0.12832029163837433, 0.8716797232627869]"
"RT @DragonflyJonez: ""You men are trash if your homeboy is cheating and you dont tell his wife/girl and break up their family."" LOLNO","[0.9285991191864014, 0.07140085846185684]"
Austin is a funny niggah,"[0.10528553277254105, 0.8947145342826843]"
RT @Leslieeeixta: Bdubs is packed with beaners &#128557;&#128514;,"[0.14330613613128662, 0.8566939234733582]"
"&#8220;@MaRAtheeMODEL: Hoe fax = type yo bitch number in google to see if it pops up on back pagE

thank @HeartOfAHustlah&#8221; &#128514;&#128557;&#128514;&#128557;","[0.2715727984905243, 0.7284272313117981]"
Bruh... @theofficialeg10 soo trash....,"[0.9744532108306885, 0.025546804070472717]"
RT @Brucewayneakia: This is what the niggers dont like http://t.co/0lRdpIZEd0,"[0.09230834990739822, 0.9076915979385376]"
What I look like ho? I look like YES and you look like NO! @NICKIMINAJ,"[0.8657538890838623, 0.1342461258172989]"
"""If you're a bad bitch put your hands up high"" 
Every girl in the room starts waving there hands around.","[0.6855334639549255, 0.3144664764404297]"
"RT @ella__fraser: When you clam up, my survival instinct is to kick the door shut","[0.8972857594490051, 0.10271422564983368]"
RT @MANIAC3X: Lmaooo The Cleveland G00n sent DRose to hell last night in his own home and this faggot @NotoriousBM95 disappeared,"[0.08960471302270889, 0.9103952646255493]"
Where is @StephyRae7 ... I miss that bitch.,"[0.22050361335277557, 0.7794963717460632]"
RT @finlife54: @Vontey_isa_boss &#127797; bitch lol,"[0.2498522251844406, 0.7501477003097534]"
I be joked out at half the broads on here that brag about how good they pussy/head game is...,"[0.8692265152931213, 0.13077344000339508]"
pussy so good got me running through the hood,"[0.23306100070476532, 0.7669390439987183]"
Black people like @ChiefKeef disgust me laughing at someone who died dumb monkey ass niggas like you need to be locked up just for stupidity,"[0.22145602107048035, 0.7785439491271973]"
@ArcticFox2016 everybody mocks Obama .Hes an embarrassment to the USA.,"[0.943566620349884, 0.05643341317772865]"
@kassidypeek pussy shit ^,"[0.3593407869338989, 0.6406591534614563]"
@RyeOrDie because them niggas that told you bitch made &amp; they not real niggas or any kind of real,"[0.1728416234254837, 0.8271583914756775]"
Like some nigga lie to bitches &amp; wonder why they go crazy ... That ain't me,"[0.5580341219902039, 0.44196590781211853]"
&#8220;@thatsoVICTORZZZ: @Blaxxxican for the light weights&#8221; *pussies,"[0.18323464691638947, 0.816765308380127]"
"trust me, just set the alpha to 0. it's just as good (maybe better) than setting the visibility to false. now: fly on silver bird!","[0.9738779664039612, 0.026122068986296654]"
I wish @joederosacomedy didnt block me long ago for calling him a pussy so I could call him a pussy again and get blocked a second time.,"[0.889068067073822, 0.11093197017908096]"
I be ready to tell a bitch shut da fuck up lol,"[0.22434036433696747, 0.7756596803665161]"
Happy birthday to my bitch. @PaaullyM I had to tow is botch ass car... Love you cuz,"[0.21690170466899872, 0.7830983400344849]"
@thereal_4 yeah lil nigga I was homecoming king and still been getting bad bitches as u see &#9996;&#65039;,"[0.18565607070922852, 0.8143439292907715]"
I have no respect for people who cheat that shits just retarded,"[0.3166361153125763, 0.6833639144897461]"
iggy wanna be black so bad. ur a white widow hoe,"[0.12662458419799805, 0.8733753561973572]"
You selfish bitch... I bet you love running.. I sure do.,"[0.22558733820915222, 0.7744126319885254]"
"Back in America, and I've become a basic bitch again.","[0.2951068878173828, 0.7048930525779724]"
Niggas swear they don't trust these hoes but be fucking raw &#128528;&#128514;smh,"[0.16535504162311554, 0.8346449136734009]"
@jesstoth we could get matching burner phones and be ghetto fab for a few months,"[0.9681928753852844, 0.03180710971355438]"
Bought these bitches breakfast and now getting kissed on my cheeks non stop...lol. Check out is literally in 5 mins tho,"[0.45043644309043884, 0.5495635867118835]"
@Rvm3o bitch.,"[0.15084092319011688, 0.8491590619087219]"
My nigga mister meaner just hope back on the bitch,"[0.15421457588672638, 0.8457854390144348]"
"RT @LeMarquand: Jihadi-In-Chief Hussein Urges restraint in Fighting Islamic Butchers&#8252;&#65039;Apparently, we SHOULD be nice to ISIS...we might hurt&#8230;","[0.8977766633033752, 0.10222337394952774]"
RT @_BeautifulKeezy: &#8220;@100046729: &#8220;@_BeautifulKeezy: let me sit this ass on you !&#8221;@Leelucas_&#8221;bitch you and Chris better Gtf &#128080;,"[0.17041166126728058, 0.8295883536338806]"
Even the young kardashians are hoes lol,"[0.23866815865039825, 0.7613317966461182]"
RT @marsrader: The incredible scales of celestial bodies. http://t.co/NZV80jRmiG,"[0.9552210569381714, 0.0447789765894413]"
Kicking bitches out the house like Pam,"[0.18473026156425476, 0.8152697682380676]"
"@Misplaced_Momma 
She be what we say in da hood white trash","[0.11571867018938065, 0.8842812776565552]"
"RT @UberFacts: Mila Kunis has heterochromia iridum which gives her two different colored eyes. One eye is green, the other is brown.","[0.9630271792411804, 0.03697281703352928]"
RT @stayclassay: Paybacks a bitch it really is!,"[0.46427929401397705, 0.5357207655906677]"
I'm the crazy bitch that will call you 10 times in one hour,"[0.6617401242256165, 0.33825990557670593]"
&#8220;@DavetheBrave1: I wish you were here...&#8221; Stop crying bitch I'm omw back already haha,"[0.3715440332889557, 0.6284559965133667]"
@peteyhoti that funky monkey,"[0.9703527092933655, 0.02964724972844124]"
"&#128149;&#128149;&#128149; pussy ride dick like she a Jamaican / \ / &#128167;\ 
. */. &#127796; |. &#165;~ ! &#127796;. | &gt; \ 
&#128043; $. / &#127806;\ ; &#128043; ) &amp;&#128043;*","[0.212034672498703, 0.7879653573036194]"
These hoes pickin and choosin.. that's why these niggas stickin and movin,"[0.10671582072973251, 0.8932841420173645]"
"Fuck all that huggin and kisses, I fuck all they bitches","[0.17331060767173767, 0.8266893625259399]"
@Alan_Casillas niggah lol i had 6 beers before i went to the bar then had 4 beers at the bar then got a 12pck on the way home lool,"[0.18664215505123138, 0.8133578300476074]"
"""@X_XPDOTJDOT: Damn near gotta protect my tweets.. stalkers being annoying"" you got that dope dick. Drive these bitches loco","[0.7110531330108643, 0.28894683718681335]"
"&#8220;@xoxo_hayleyy: ""@savageater: i think if my girlfriend were to get locked up shed be the first one raped.#pussy""really bitch&#9995;&#128530;&#8221;really swerve","[0.17921562492847443, 0.820784330368042]"
@justinbieber nice wigger stache,"[0.13900251686573029, 0.8609974980354309]"
@gvvenivere learn how to type ya hillbilly,"[0.9711024165153503, 0.028897592797875404]"
I'm a sucker for colored eyes &#128532;&#128532;,"[0.9655842781066895, 0.03441568836569786]"
&#8220;@daijahshardaee: &#128514;&#128514; @100046729 bitches so late &#128564;&#128129;&#8221; ion exposed &#128514;&#128564;,"[0.28461888432502747, 0.7153810858726501]"
if u don't buy the box of colored goldfish you r a racist tbh,"[0.8912230134010315, 0.1087769865989685]"
@lord_jonesss none of my business ? Nigga if you get that I'm living with you lol and I'm stealing one of them bitches and 100k &#128056;&#9749;&#65039;,"[0.1745660901069641, 0.8254338502883911]"
Dat bitch a Thot,"[0.16984567046165466, 0.830154299736023]"
Indiana lost to Bowling Green. Big Ten continues to be trash.,"[0.9720950722694397, 0.02790493331849575]"
@felicity182 i think u need a massage or a pussy in your mouth to make u feel less stressed out don't u think?,"[0.9636419415473938, 0.036358099430799484]"
RT @ThatBoyACE71: Vonte not tweeting like a bitch finally,"[0.6015123128890991, 0.3984876275062561]"
Yeaaa bitch I be with dog like shaggy yea we stay clean but we get dirty like Harry,"[0.5757293701171875, 0.4242706298828125]"
&#8220;@JukeJuke_9: Lance Stevenson gone leave Indiana&#8221; he trash anyway,"[0.952407717704773, 0.04759234935045242]"
"""@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad","[0.9571531414985657, 0.042846888303756714]"
RT @RihannaHasAids: bitch built like squid ward after he ate all the Krabby Patties RT @AcaciaMakayla: @DJZeeti DONT RETIRE &#128553; I love you. h&#8230;,"[0.21154892444610596, 0.7884510159492493]"
pussy ass bitches,"[0.13303717970848083, 0.8669627904891968]"
My teacher called my mom cus I was eating in class ... -.- fucking bitch,"[0.7696262001991272, 0.23037376999855042]"
